address,direction,section,name,value_or_unit,description,status,notes,pdf_alias
172,Pendant -> Robot,161~199 팬던트 → 로봇,선택 셀 우,1~8,우측 셀 선택,프로젝트 우선,프로젝트 시트는 A~e(1~8) 사용,PDF: 1~6
173,Pendant -> Robot,161~199 팬던트 → 로봇,수직좌,0~1000 mm,좌측 수직 치수,일치,,
174,Pendant -> Robot,161~199 팬던트 → 로봇,수직우,0~1000 mm,우측 수직 치수,일치,,
175,Pendant -> Robot,161~199 팬던트 → 로봇,수평 바닥,0~1000 mm,바닥 방향 수평 치수,일치,,
176,Pendant -> Robot,161~199 팬던트 → 로봇,스칼럽 상,비용접,2F/3F별 스칼럽 상부 설정,프로젝트 우선,"2F=왼쪽, 3F=위",
177,Pendant -> Robot,161~199 팬던트 → 로봇,스칼럽 하,비용접,2F/3F별 스칼럽 하부 설정,프로젝트 우선,"2F=오른쪽, 3F=안씀",
178,Pendant -> Robot,161~199 팬던트 → 로봇,셀 선택,bitfield,셀 선택 플래그,프로젝트 우선,비트 정의는 bitfields-enums.md 참조,PDF: 셀선택 완료?
179,Pendant -> Robot,161~199 팬던트 → 로봇,플래그 선택 (EXT_FLAG),bitfield,정밀터치/이음용접/스티프너 등 확장 플래그,프로젝트 우선,작업 시트 기준 전체 비트 정의 적용,"PDF: 12번 비트 벽 유무, stiffner 기능 유무"
180,Pendant -> Robot,161~199 팬던트 → 로봇,터치위치 기억,1=기억 사용,이전 터치 사용 여부,일치,,
181,Pendant -> Robot,161~199 팬던트 → 로봇,칼라 가로,,칼라 가로 치수,일치,,
182,Pendant -> Robot,161~199 팬던트 → 로봇,칼라 세로,,칼라 세로 치수,일치,,
183,Pendant -> Robot,161~199 팬던트 → 로봇,각장_2f,"0~3bit=일반, 4~7bit=C.PL",2F 각장 정보,일치,,
184,Pendant -> Robot,161~199 팬던트 → 로봇,상하 P gain,,상하축 P gain,일치,,
185,Pendant -> Robot,161~199 팬던트 → 로봇,상하 I gain,,상하축 I gain,일치,,
186,Pendant -> Robot,161~199 팬던트 → 로봇,좌우 P gain,,좌우축 P gain,일치,,
187,Pendant -> Robot,161~199 팬던트 → 로봇,좌우 I gain,,좌우축 I gain,일치,,
188,Pendant -> Robot,161~199 팬던트 → 로봇,곡블럭 옵션1,bitfield/packed,곡블럭 옵션1,프로젝트 우선,프로젝트 시트 명칭 적용,PDF: 각장_3f_left / 삼호: 곡블럭
189,Pendant -> Robot,161~199 팬던트 → 로봇,곡블럭 옵션2,bitfield/packed,곡블럭 옵션2,프로젝트 우선,프로젝트 시트 명칭 적용,PDF: 각장_3f_right / 삼호: 곡블럭
190,Pendant -> Robot,161~199 팬던트 → 로봇,중간갭_속도1,팬던트 값 x10,중간갭 속도1,작업시트 단독,191과 짝을 이루는 보조 레지스터는 미사용/공란,PDF: 190~199 사용하지 않음 / 190 갭-모따기
191,Pendant -> Robot,161~199 팬던트 → 로봇,Reserved/TBD,,프로젝트 시트 공란,미확정,,
192,Pendant -> Robot,161~199 팬던트 → 로봇,중간갭_진폭1,팬던트 값 x10,중간갭 진폭1,작업시트 단독,,
193,Pendant -> Robot,161~199 팬던트 → 로봇,Reserved/TBD,,프로젝트 시트 공란,미확정,,
194,Pendant -> Robot,161~199 팬던트 → 로봇,중간갭_전류1,팬던트 값 x10,중간갭 전류1,작업시트 단독,,
195,Pendant -> Robot,161~199 팬던트 → 로봇,Reserved/TBD,,프로젝트 시트 공란,미확정,,
196,Pendant -> Robot,161~199 팬던트 → 로봇,중간갭_전압1,팬던트 값 x10,중간갭 전압1,작업시트 단독,,
197,Pendant -> Robot,161~199 팬던트 → 로봇,Reserved/TBD,,프로젝트 시트 공란,미확정,,
198,Pendant -> Robot,161~199 팬던트 → 로봇,바닥각도,,바닥 각도 선택,작업시트 단독,값 정의는 bitfields-enums.md 참조,
199,Pendant -> Robot,161~199 팬던트 → 로봇,Reserved/TBD,,프로젝트 시트 공란,미확정,,
201,Robot -> Welder,201~220 로봇 ↔ 용접기,로봇 사용,1=모드버스 사용,용접기와 모드버스 사용 여부,일치,,
202,Robot -> Welder,201~220 로봇 ↔ 용접기,용접기 제어,bitfield,토치/정인칭/역인칭/가스체크/스틱체크 제어,일치,비트 정의는 bitfields-enums.md 참조,
203,Robot -> Welder,201~220 로봇 ↔ 용접기,와이어 정보,,프로젝트 시트 기준 와이어 정보,프로젝트 우선,작업 시트 빨간 셀(사용 안함) 표기 포함,PDF: 용접 속도
204,Robot -> Welder,201~220 로봇 ↔ 용접기,전류 설정,,목표 전류 설정,일치,,
205,Robot -> Welder,201~220 로봇 ↔ 용접기,전압 설정,,목표 전압 설정,일치,,
206,Robot -> Welder,201~220 로봇 ↔ 용접기,전압 시너지 보정,,시너지 보정값,일치,,
207,Robot -> Welder,201~220 로봇 ↔ 용접기,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,PDF: 펜던트 호선번호,
208,Robot -> Welder,201~220 로봇 ↔ 용접기,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,PDF: 펜던트 블록번호,
209,Robot -> Welder,201~220 로봇 ↔ 용접기,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,PDF: 펜던트 단위블록(문자),
210,Robot -> Welder,201~220 로봇 ↔ 용접기,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,PDF: 펜던트 단위블록(숫자),
211,Welder -> Robot,201~220 로봇 ↔ 용접기,"WCR 검출, STICK",bitfield,용접기 상태 피드백,프로젝트 우선,"작업 시트는 bit4=STICK, bit5=WCR, PDF는 bit8 heartbeat 추가 설명",PDF: 용접기 하트비트 4bit=스틱아웃 / 5bit=WCR / 8bit=하트비트
212,Welder -> Robot,201~220 로봇 ↔ 용접기,용접 전류 피드백,0~600,실제 용접 전류 피드백,일치,,
213,Welder -> Robot,201~220 로봇 ↔ 용접기,용접 전압 피드백,0~80,실제 용접 전압 피드백,일치,,
214,Welder -> Robot,201~220 로봇 ↔ 용접기,송급장치 상태,0~18,송급장치 상태,일치,,
215,Welder -> Robot,201~220 로봇 ↔ 용접기,와이어 정보,,와이어 상태/정보,일치,,
216,Welder -> Robot,201~220 로봇 ↔ 용접기,용접기 오류,0~255,용접기 에러 코드,일치,에러 상세 체계는 제조사 문서와 연결 필요,
217,Welder -> Robot,201~220 로봇 ↔ 용접기,출력 전류 설정,,용접기 출력 전류 설정값 피드백,일치,,
218,Welder -> Robot,201~220 로봇 ↔ 용접기,출력 전압 설정,,용접기 출력 전압 설정값 피드백,일치,,
219,Welder -> Robot,201~220 로봇 ↔ 용접기,전압 시너지 보정,,용접기 시너지 보정 피드백,일치,,
220,Welder -> Robot,201~220 로봇 ↔ 용접기,용접 파라미터1,,용접 파라미터1,일치,,
221,Pendant -> Robot,221~255 용접 조건,용접 파라미터2,,용접 조건 파라미터2,프로젝트 우선,프로젝트 시트는 팬던트→로봇 조건 영역으로 사용,PDF: 용접기 to 로봇 용접 파라미터2
222,Pendant -> Robot,221~255 용접 조건,용접 파라미터3,,용접 조건 파라미터3,프로젝트 우선,프로젝트 시트는 팬던트→로봇 조건 영역으로 사용,PDF: 용접기 to 로봇 용접 파라미터3
223,Pendant -> Robot,221~255 용접 조건,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,PDF: 울산 중간GAP 속도,
224,Pendant -> Robot,221~255 용접 조건,Reserved/TBD,,프로젝트 시트 공란,PDF 단독,PDF: 미포 202 테스트,
225,Pendant -> Robot,221~255 용접 조건,주파수,,위빙 속도/주파수,일치,,
226,Pendant -> Robot,221~255 용접 조건,바닥 멈춤 시간,,바닥 dwell time,일치,,
227,Pendant -> Robot,221~255 용접 조건,벽 멈춤 시간,,벽 dwell time,일치,,
228,Pendant -> Robot,221~255 용접 조건,작업각,,작업 각도,일치,,
229,Pendant -> Robot,221~255 용접 조건,x 오프셋,,X offset,일치,,
230,Pendant -> Robot,221~255 용접 조건,z 오프셋,,Z offset,일치,,
231,Pendant -> Robot,221~255 용접 조건,전압,,전압 조건,일치,,
232,Pendant -> Robot,221~255 용접 조건,전류,,전류 조건,일치,,
233,Pendant -> Robot,221~255 용접 조건,속도_start,GAP_begin,시작 구간 속도,일치,,
234,Pendant -> Robot,221~255 용접 조건,위빙폭_start,Gap_begin,시작 구간 위빙폭,일치,,
235,Pendant -> Robot,221~255 용접 조건,속도_end,GAP_end,종료 구간 속도,일치,,
236,Pendant -> Robot,221~255 용접 조건,위빙폭_end,GAP_end,종료 구간 위빙폭,일치,,
237,Pendant -> Robot,221~255 용접 조건,방향 탐색 높이,,방향 탐색 높이,일치,,
238,Pendant -> Robot,221~255 용접 조건,터치 높이,,터치 높이,일치,,
239,Pendant -> Robot,221~255 용접 조건,아크센싱,,아크 센싱 사용 여부/파라미터,일치,PDF 메모: 삼호 2024-04-28 추가,
240,Pendant -> Robot,221~255 용접 조건,로봇 반환 완료,1=반환,반환 완료 상태,일치,작업 시트 메모: 로봇 요청 후 154 받으면 0,
241,Pendant -> Robot,221~255 용접 조건,시작 용접시간,,시작 조건: 용접 시간,일치,,
242,Pendant -> Robot,221~255 용접 조건,시작 가스,,시작 조건: 가스,일치,,
243,Pendant -> Robot,221~255 용접 조건,시작 후진 거리,,시작 조건: 후진 거리,일치,,
244,Pendant -> Robot,221~255 용접 조건,시작 전류,,시작 조건: 전류,일치,,
245,Pendant -> Robot,221~255 용접 조건,시작 전압,,시작 조건: 전압,일치,,
246,Pendant -> Robot,221~255 용접 조건,끝 용접시간,,끝 조건: 용접 시간,일치,,
247,Pendant -> Robot,221~255 용접 조건,끝 가스,,끝 조건: 가스,일치,,
248,Pendant -> Robot,221~255 용접 조건,끝 후진 거리,,끝 조건: 후진 거리,일치,,
249,Pendant -> Robot,221~255 용접 조건,끝 전류,,끝 조건: 전류,일치,,
250,Pendant -> Robot,221~255 용접 조건,끝 전압,,끝 조건: 전압,일치,,
251,Pendant -> Robot,221~255 용접 조건,끝 용접시간2,,끝 조건2: 용접 시간,일치,,
252,Pendant -> Robot,221~255 용접 조건,끝 가스2,,끝 조건2: 가스,일치,,
253,Pendant -> Robot,221~255 용접 조건,끝 후진 거리2,,끝 조건2: 후진 거리,일치,,
254,Pendant -> Robot,221~255 용접 조건,끝 전류2,,끝 조건2: 전류,일치,,
255,Pendant -> Robot,221~255 용접 조건,끝 전압2,,끝 조건2: 전압,일치,,
256,UR,256~405 UR 컨트롤러 부록,Controller version high number,,UR 컨트롤러 버전 상위 번호,PDF 단독,,
258,UR,256~405 UR 컨트롤러 부록,Robot Mode,0/1/2/3/5/6/7,"Disconnected=0, Confirm_safety=1, Booting=2, Power_off=3, Idle=5, Backdrive=6, Running=7",PDF 단독,,
260,UR,256~405 UR 컨트롤러 부록,isPowerOnRobot,,로봇 전원 인가 상태,PDF 단독,,
261,UR,256~405 UR 컨트롤러 부록,isSecurityStopped,,보호정지 상태,PDF 단독,,
262,UR,256~405 UR 컨트롤러 부록,isEmergencyStopped,,비상정지 상태,PDF 단독,,
265,UR,256~405 UR 컨트롤러 부록,isSafetySignalSuchThatWeShouldStop,,안전 신호로 인한 정지,PDF 단독,,
270,UR,256~405 UR 컨트롤러 부록,Joint 1 angle,mrad,UR 1_angle,PDF 단독,,
271,UR,256~405 UR 컨트롤러 부록,Joint 2 angle,mrad,UR 2_angle,PDF 단독,,
272,UR,256~405 UR 컨트롤러 부록,Joint 3 angle,mrad,UR 3_angle,PDF 단독,,
273,UR,256~405 UR 컨트롤러 부록,Joint 4 angle,mrad,UR 4_angle,PDF 단독,,
274,UR,256~405 UR 컨트롤러 부록,Joint 5 angle,mrad,UR 5_angle,PDF 단독,,
275,UR,256~405 UR 컨트롤러 부록,Joint 6 angle,mrad,UR 6_angle,PDF 단독,,
280,UR,256~405 UR 컨트롤러 부록,Joint 1 speed,mrad/s,UR 1_speed,PDF 단독,,
281,UR,256~405 UR 컨트롤러 부록,Joint 2 speed,mrad/s,UR 2_speed,PDF 단독,,
282,UR,256~405 UR 컨트롤러 부록,Joint 3 speed,mrad/s,UR 3_speed,PDF 단독,,
283,UR,256~405 UR 컨트롤러 부록,Joint 4 speed,mrad/s,UR 4_speed,PDF 단독,,
284,UR,256~405 UR 컨트롤러 부록,Joint 5 speed,mrad/s,UR 5_speed,PDF 단독,,
285,UR,256~405 UR 컨트롤러 부록,Joint 6 speed,mrad/s,UR 6_speed,PDF 단독,,
290,UR,256~405 UR 컨트롤러 부록,Joint 1 current,mA,UR 1_current,PDF 단독,,
291,UR,256~405 UR 컨트롤러 부록,Joint 2 current,mA,UR 2_current,PDF 단독,,
292,UR,256~405 UR 컨트롤러 부록,Joint 3 current,mA,UR 3_current,PDF 단독,,
293,UR,256~405 UR 컨트롤러 부록,Joint 4 current,mA,UR 4_current,PDF 단독,,
294,UR,256~405 UR 컨트롤러 부록,Joint 5 current,mA,UR 5_current,PDF 단독,,
295,UR,256~405 UR 컨트롤러 부록,Joint 6 current,mA,UR 6_current,PDF 단독,,
300,UR,256~405 UR 컨트롤러 부록,Joint 1 temp,C,UR 1_temp,PDF 단독,,
301,UR,256~405 UR 컨트롤러 부록,Joint 2 temp,C,UR 2_temp,PDF 단독,,
302,UR,256~405 UR 컨트롤러 부록,Joint 3 temp,C,UR 3_temp,PDF 단독,,
303,UR,256~405 UR 컨트롤러 부록,Joint 4 temp,C,UR 4_temp,PDF 단독,,
304,UR,256~405 UR 컨트롤러 부록,Joint 5 temp,C,UR 5_temp,PDF 단독,,
305,UR,256~405 UR 컨트롤러 부록,Joint 6 temp,C,UR 6_temp,PDF 단독,,
320,UR,256~405 UR 컨트롤러 부록,Base joint revolution count,full turns,회전수 카운트,PDF 단독,,
321,UR,256~405 UR 컨트롤러 부록,Shoulder joint revolution count,full turns,회전수 카운트,PDF 단독,,
322,UR,256~405 UR 컨트롤러 부록,Elbow joint revolution count,full turns,회전수 카운트,PDF 단독,,
323,UR,256~405 UR 컨트롤러 부록,Wrist1 joint revolution count,full turns,회전수 카운트,PDF 단독,,
324,UR,256~405 UR 컨트롤러 부록,Wrist2 joint revolution count,full turns,회전수 카운트,PDF 단독,,
325,UR,256~405 UR 컨트롤러 부록,Wrist3 joint revolution count,full turns,회전수 카운트,PDF 단독,,
400,UR,256~405 UR 컨트롤러 부록,TCP X,,UR TCP X,PDF 단독,,
401,UR,256~405 UR 컨트롤러 부록,TCP Y,,UR TCP Y,PDF 단독,,
402,UR,256~405 UR 컨트롤러 부록,TCP Z,,UR TCP Z,PDF 단독,,
403,UR,256~405 UR 컨트롤러 부록,TCP RX,,UR TCP RX,PDF 단독,,
404,UR,256~405 UR 컨트롤러 부록,TCP RY,,UR TCP RY,PDF 단독,,
405,UR,256~405 UR 컨트롤러 부록,TCP RZ,,UR TCP RZ,PDF 단독,,
